t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3
0,-4.190308118573105,-5.795051586447227,3.4208532743093487,0.6835871803594799,0.431898695241304,-0.20757764804356915,-0.5505302933806053,-0.263790315799425,4.276615305544708,0.1778808846416545,0.056991051000408154,0.03437497316748204,0.3348816765043365,12.734134248174167,3.4595255976159556,0.6720094604294566,-0.01478134627641906,0.02051123059779669,-6.184151110808269e-05,4.178948811461556,4.178999667790071,4.178999447927334,4.178856036570749,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0320945,-4.192195843797128,-5.656009925855173,3.4269070388603886,0.6862576613014149,0.4317058747728967,-0.21001620433383067,-0.5464189362649251,0.14490510423440028,4.387646981485941,0.1994486789922049,0.05651665137438154,0.03503327045265312,0.33487969173318005,12.50191280587412,3.4115493925023257,0.6876535877863763,-0.02673021989932048,0.02961061493732406,-0.00044305378994797823,4.178876350256141,4.178999665547108,4.178999438883923,4.178210330618654,0.9996164782887349,0.00038352171126510834,0.05589300970406849,0.9999703020989575,2.969790104242536e-05,0.04576399987076201,0.9999816131374871,1.8386862512866623e-05,0.0449974230395178,0.9999941908612964,5.809138703680925e-06,0.03948033240394936
0.064189,-4.181086633558063,-5.513429606314547,3.433661117725706,0.688914799169822,0.4314998402469905,-0.21243370266241815,-0.5422879394977937,0.5461474977764336,4.497138886060042,0.22151856347912366,0.05565875885994416,0.035983607748728406,0.3348654721520722,11.850413151699765,3.1938104585101375,0.9701283157571609,-8.751841668602658,8.656118788094219,-0.35506925928933397,4.178668392284563,4.178999662309707,4.178999427577768,3.6447298912430677,0.9992142006761927,0.00040227761254220997,0.05680722638968651,0.999940269254726,3.0032844231546477e-05,0.04577344995811177,0.9999617939561937,1.9819181293520836e-05,0.044997746107653176,0.999986605560679,7.5853006173379476e-06,0.0416720021472016
0.0962834,-4.1574307743624255,-5.367453147712772,3.441273648837406,0.6929502294171496,0.4309538324431605,-0.2120381744662086,-0.5377160835364657,0.9264803485395491,4.5996425727191,0.25265432754191647,-0.22522705065882612,0.3137972411702619,0.3234697088250788,11.882793720323807,3.4355675017982685,0.6401412558485774,-0.991777134718288,0.7998184432166547,-0.035887642275964464,4.178734291755094,4.178999658151445,4.178999414926692,4.124768155617495,0.9987901238677681,0.00042407680842463687,0.05790543450906502,0.9999098586730824,3.041058164358801e-05,0.045788723995654416,0.9999408516777896,2.0942278404206736e-05,0.04499799967874507,0.9999776383474238,8.967213255119317e-06,0.042892383133096366
0.128378,-4.1215449426154365,-5.218068170561333,3.4497198060084298,0.6984915223800362,0.429977125092677,-0.2085510431122672,-0.5326684968623818,1.307852436822611,4.709905326027463,0.27319932843018074,-0.25705762231404106,0.33946699839369465,0.32231791359910167,11.559096930702369,3.5458101405695412,0.5183984644887194,-0.11956348673867558,-0.07655620493380834,-0.0002831255392633615,4.178888125913121,4.178999653203154,4.178999400704171,4.178462625721483,0.9983406354202103,0.00044948844755774884,0.059202738108892254,0.999879026230419,3.083244266331484e-05,0.04580764237689534,0.9999188795604672,2.1972117322370246e-05,0.04499823017167302,0.9999674201315993,1.0218215824473259e-05,0.0435854914574726
0.160472,-4.073585492830775,-5.065087677115315,3.4587630627413835,0.7041398169077083,0.42887103215390765,-0.20476244633127688,-0.5275690444571574,1.6788356448865953,4.823706259527755,0.2898370577064749,-0.2608949502769042,0.337009966787003,0.3223088268320756,11.195967237588128,3.63235675800896,0.4240013130564086,-0.111397511300526,-0.08334505402449972,-5.4339334585716564e-05,4.1789416578772585,4.178999647588204,4.178999384162384,4.178860208017987,0.9978613550824079,0.00047928033780242644,0.06072536613784743,0.9998477250466629,3.1301183756204586e-05,0.045829851839052464,0.9998959040084688,2.2975551998375407e-05,0.04499845249558608,0.9999559971263431,1.1423005256323572e-05,0.04400358098841534
0.192567,-4.013906852019748,-4.908409733471254,3.46829168999608,0.7097533789010843,0.4276698290434183,-0.20095637629624416,-0.5224607098748469,2.0381643941894465,4.940284861731516,0.30344515947117306,-0.2644701955024066,0.3343350505973006,0.32230708283937537,10.8361305258214,3.7129863957994993,0.3297554197679484,-0.10884260172918317,-0.0854591218983952,-1.4481112198941992e-05,4.178963363293913,4.178999641426558,4.178999364418299,4.178941864193601,0.9973469585363639,0.0005143965460439609,0.062496640971168936,0.9998159058786382,3.1819168024591516e-05,0.04585534521496173,0.9998719182954209,2.3985713047958086e-05,0.04499867492043915,0.9999433741567342,1.2622969608859201e-05,0.0442706267467804
0.224661,-3.942881375902514,-4.7479482363724115,3.478208522205397,0.7153302531838296,0.4263742133608313,-0.19713674071396384,-0.5173439519257353,2.3859443712559614,5.059451230252307,0.3140284882757846,-0.26796344223315005,0.3315922844979881,0.322306618075606,10.479857208364763,3.787801310902818,0.23558878686104986,-0.10732490266112366,-0.08685816373482018,-3.011980702292562e-06,4.1789739721351635,4.178999634841234,4.178999340473356,4.178969737208755,0.9967909028852788,0.000556055651085014,0.06453149931856705,0.9997835168916269,3.238898701134666e-05,0.045884263433740656,0.9998468942873094,2.5024008111460542e-05,0.04499890362471867,0.9999295301995669,1.3843957167295254e-05,0.0444496447658697
0.256756,-3.8608778844022473,-4.58362312842931,3.4884165158766978,0.7208694961526616,0.42498446142586305,-0.19330554646312956,-0.5122190379538148,2.7222899413744215,5.181018744587729,0.3215895879410596,-0.27140797920113957,0.328804616878098,0.32230652140765087,10.127213710013214,3.856834216177339,0.14153951551202465,-0.10612491124148347,-0.08806583255355245,1.1973993820353063e-06,4.178979854702312,4.178999627954257,4.178999311154046,4.178981972103096,0.996185042496617,0.0006058603886618209,0.0668286864598124,0.9997505033291307,3.30135624961558e-05,0.045916837444101494,0.9998207872851443,2.610700216511196e-05,0.044999144244564415,0.999914424944915,1.5105254651851245e-05,0.044574505726961235
0.28885,-3.7682614919739574,-4.4153603256594165,3.4988187295143365,0.7263703644211899,0.4235007522654654,-0.18946444957987543,-0.5070862145031785,3.047317601702379,5.304801834137569,0.32613222512519835,-0.27481400306822024,0.3259781897551655,0.3223065598375617,9.778237628784861,3.920111244775984,0.047658283151200194,-0.10504807260370712,-0.08920303045719614,2.9969145761993848e-06,4.178983384344698,4.178999620886369,4.178999275020854,4.1789882368486735,0.9955190886331213,0.0006659538634957048,0.06936222265795759,0.9997168071513446,3.3696177786032075e-05,0.045953368749718164,0.9997935380328398,2.7249252304566612e-05,0.04499940263084339,0.999898001597513,1.6423347402103915e-05,0.04466446724891451
