t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
0,-7.234324500018071,-7.896526955313455,-2.1425457472753795,0.6448767163675041,0.3836703643540852,-0.0674826593002308,-0.657553923946347,-4.193823917706409,3.5246189286324596,-1.5732402174717797,0.4041203276587522,0.005976510291871405,-0.02002093746371762,12.359016787930601,4.589101836802731,-0.7878755225364145,-3.1652507173853344e-05,-0.008115083051723964,1.0631817274961897e-06,4.178994342310973,4.178999627638713,4.178999681841584,4.178995886877615,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0446944,-7.409405186497536,-7.734384745181435,-2.2136811000003616,0.6411000327699125,0.3895937860285483,-0.07316297120837467,-0.657156457408975,-3.6414455133381,3.729725920037495,-1.6084538134598132,0.4041189129700511,0.005613811809917311,-0.020020889945485686,12.265499500986598,4.421559315559261,-0.5878325743864059,1.2889295935926556e-06,-0.008108938737535489,8.16208989982522e-07,4.17899574667646,4.17899960813018,4.178999664599195,4.178996917589384,0.9998612672446184,0.00013873275538150022,0.04636180137770685,0.999977887042865,2.2112957134919452e-05,0.04560448746682927,0.9999837915237477,1.6208476252374388e-05,0.04499605181586414,0.999989826637957,1.017336204300249e-05,0.04499697119509341,0.9999967051084969,3.294891503036909e-06,0.03466415484129769
0.0893887,-7.559890954581858,-7.563243049241292,-2.2861901927470623,0.6372703382325174,0.3954800152958896,-0.07884248502768947,-0.6567084102287859,-3.0932468047036323,3.9273447048856225,-1.6347266169559922,0.4041189705779405,0.005251387944182744,-0.02002085346554337,12.171227632209495,4.255806015729987,-0.3896429829439053,2.8563304940408307e-05,-0.008102657504113313,5.644728571189947e-07,4.178996972006933,4.1789995788109096,4.17899963914072,4.178997760508488,0.9997199741796547,0.0001412930649636942,0.04639462961626903,0.9999557763964688,2.2110646396161525e-05,0.04559642105032728,0.9999670125003634,1.6779023384330537e-05,0.04499596630460951,0.9999785880179889,1.1238619968187822e-05,0.04499723363654766,0.9999922966969328,4.408411564164397e-06,0.04077901755556606
0.134083,-7.685969357441676,-7.383434755726436,-2.359675271927545,0.6333878896827887,0.40132859854044156,-0.08452072116075855,-0.6562098634516181,-2.5492615173586937,4.117555251291361,-1.6521414625610285,0.4041202471967102,0.004889244814185877,-0.020020828236787597,12.076146001167821,4.091810595743466,-0.19331704759199775,4.527808493079468e-05,-0.00809854956957757,4.029797600085995e-07,4.1789977951430926,4.178999538179633,4.1789996041265445,4.178998335180784,0.9995755271172858,0.0001444470623689251,0.04644788446818637,0.9999336230712033,2.2153325265620396e-05,0.04559451073535624,0.9999497669845923,1.7245515771194676e-05,0.04499584676346705,0.9999665337080562,1.2054309932645199e-05,0.04499744796683261,0.9999870225483252,5.274148607631603e-06,0.04299165105673633
0.178777,-7.787829511089293,-7.195289210333392,-2.433742296316149,0.6294529508856349,0.4071390793759574,-0.09019719501734513,-0.6556609022026837,-2.009525843113304,4.300436126577604,-1.6607816452000181,0.4041222708719536,0.004527285285713552,-0.020020810225863214,11.980202006031565,3.9295435743632603,0.001133605907880698,5.44788714336244e-05,-0.008096034979478393,3.0884581231798063e-07,4.1789983247291325,4.178999483657047,4.17899955730906,4.178998715506912,0.9994272618678607,0.00014826524942516942,0.046518291409560104,0.9999113821514154,2.2240919787915205e-05,0.045596242997027886,0.9999320714553274,1.7695529264767503e-05,0.044995707997004156,0.9999537421401441,1.2791567912170619e-05,0.044997642339650715,0.9999809614303078,6.0611180173193135e-06,0.043846001430331655
0.223472,-7.865662202023493,-6.999132276960268,-2.5080009589499777,0.6254657929815916,0.4129109976752378,-0.09587141701368339,-0.655061616344981,-1.4740783247828608,4.476064580422108,-1.6607309794040797,0.4041247057705051,0.0041654381452483355,-0.020020796422195824,11.88334534695515,3.768977084664064,0.19369643341645995,5.9224308252886514e-05,-0.008094432435546061,2.551816168281805e-07,4.1789986715525735,4.178999411210378,4.178999495189003,4.1789989713057025,0.9992744251371758,0.00015283673068488342,0.04660731929053224,0.9998890081785685,2.2373972846860355e-05,0.04560102595320934,0.9999139169903724,1.815446495504007e-05,0.04499555307612948,0.9999402401683927,1.3501971751421931e-05,0.04499782609491119,0.9999741375076161,6.823922691626063e-06,0.04425130062470188
0.268166,-7.919659990015338,-6.795286394979193,-2.582064711286581,0.6214266934710425,0.4186438920826524,-0.10154289420543264,-0.6544121002089388,-0.9429597533024068,4.644516617008106,-1.6520738403566675,0.40412735276334066,0.0038036626294661716,-0.020020785017015562,11.785528024590148,3.610084809019498,0.38435811285094207,6.158127592729525e-05,-0.008093323612317368,2.260977041880809e-07,4.178998905741091,4.178999314655283,4.178999412383767,4.178999148009154,0.9991161549431509,0.00015827019402485926,0.046718074159683466,0.9998664547156558,2.2553462912761592e-05,0.04560868590018126,0.9998952823101307,1.8634680241708016e-05,0.04499538251353481,0.9999260295594667,1.4210608925897069e-05,0.04499800440158076,0.9999665486160841,7.588891532010624e-06,0.04447434514739346
0.312861,-7.950017306293926,-6.584070633348594,-2.6555507890545083,0.617335935305003,0.4243373021048599,-0.10721113165427437,-0.6537124522852709,-0.41621306490737137,4.80586706426924,-1.634895198663264,0.4041301050993492,0.003441936671833843,-0.0200207749117223,11.686704364997851,3.4528419426075927,0.5731046156585513,6.295955579978867e-05,-0.008092467345074296,2.1337757492206176e-07,4.178999068423307,4.178999184411343,4.178999300491744,4.17899927321144,0.998951455966585,0.00016469897656589704,0.046855039687350136,0.9998436739236938,2.278079196203718e-05,0.045619216288568305,0.9998761380027995,1.914430733123573e-05,0.04499519592718665,0.9999110960395557,1.4933519910903447e-05,0.04499818106845118,0.999958175916345,8.372699739266215e-06,0.04461050995175228
0.357555,-7.956930547107677,-6.365800741666429,-2.728080239583656,0.6131938062349767,0.4299907694932248,-0.11287563339662432,-0.6529627749963517,0.10611676279913908,4.960189641503388,-1.6092806519266065,0.4041329190367011,0.0030802489845220063,-0.020020765374947135,11.586831025329257,3.2972251532804617,0.7599212662924059,6.449356578170097e-05,-0.008091713787765681,2.1320383144514136e-07,4.178999183832551,4.178999005243142,4.178999145994777,4.178999363688182,0.9987791676930641,0.00017228827352088006,0.04702432964228179,0.9998206161191294,2.3057804564307633e-05,0.04563270823791284,0.9998564480751073,1.9689927692138953e-05,0.04499499255462275,0.9998954128939588,1.5683145596987675e-05,0.04499835947802102,0.9999489877098313,9.188206513588284e-06,0.04470013367002706
0.402249,-7.9405981626323365,-6.140789198241143,-2.799277950485839,0.6090005983015727,0.4356038392134391,-0.11853590319201977,-0.6521631745086672,0.6239828150329155,5.107557025192902,-1.5753164536636775,0.4041358015356547,0.002718594976975387,-0.020020755845937325,11.485866982761292,3.143212534849314,0.9447928034581422,6.73693486430212e-05,-0.008090954498810844,2.2439889963406764e-07,4.178999266612259,4.178998751981441,4.178998926186097,4.178999429849557,0.9985979227746561,0.00018124491840798278,0.047234214891945014,0.9997972292976173,2.338682151215246e-05,0.04564932784048699,0.999836170418593,2.0277656514423136e-05,0.04499477147603052,0.9998789423015124,1.6470592446305383e-05,0.04499854303877517,0.9999389408364173,1.004687341411932e-05,0.04476256105434197
