t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0,0.7037515903500619,-6.08452617490494,-3.029273786844734,0.2646969437347965,-0.2545418013575344,0.43541293981047413,-0.8219243098879118,3.3335559536929447,5.524354938459476,-1.4033623791517016,-0.2726574420864531,-0.16298602977407456,0.17758897815220095,-12.750930160236347,6.326630060507559,2.499998663452212,0.029622376705342512,-0.04747262015216523,2.0509045895204825e-05,4.178999597058966,4.178958244438184,4.178999507966048,4.178989174201621,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0410836,0.8299180248971973,-5.85220669551278,-3.0848358502801942,0.2677319667590365,-0.25719376713174047,0.44003101930328603,-0.8176451933294965,2.8097019769578084,5.784275608942351,-1.3006534610395117,-0.2714404485304981,-0.16493637539907854,0.17758982073741758,-12.560130397687212,6.184455922428984,2.617841051860324,0.03660002981303817,-0.04029498757826104,0.00029268171228825603,4.178999577033989,4.17854028920813,4.178999486827291,4.17898050229045,0.999800517151378,0.00019948284862205564,0.053724598558902575,0.9999498070333435,5.0192966656541837e-05,0.051875384613069675,0.9999527744859136,4.722551408634774e-05,0.0450335027282803,0.9999641715665845,3.582843341556859e-05,0.044982001925377886,0.9999765783213611,2.3421678638928993e-05,0.044989401736372614,0.9999922810257968,7.718974203238362e-06,0.03693189663637587
0.0821672,0.9347242905522766,-5.60932862835592,-3.1360784502844004,0.2707756255787064,-0.2598541105539326,0.4445917929573749,-0.8133231457763996,2.2936867392884057,6.038355255540269,-1.1931031546505617,-0.269936787940624,-0.16659183811592349,0.1776018451526542,-11.660970500536648,5.491745983324132,3.1101117583816285,15.959888737575822,16.00591542446444,0.6539110182983695,4.178999549293367,3.195642651094893,4.178999455830281,4.1789675841044005,0.9995861611642692,0.0002143559871086847,0.05492558900115113,0.9998977796550167,5.202737832669852e-05,0.05227762850556972,0.9999004892869059,5.228519900770723e-05,0.04510919306824753,0.9999230068034027,4.116476318171765e-05,0.04498183579572546,0.9999477808676804,2.8797453680589904e-05,0.04499079870433238,0.999981988256898,1.0292768898792063e-05,0.041953284118856425
0.123251,1.01906407431908,-5.3566050960735385,-3.182452878516433,0.2727876683505052,-0.25507600660702523,0.44553822612225946,-0.8136453828532925,1.8146122174666968,6.263975891559048,-1.0653286007752918,0.3857527247744576,0.4909886160959389,0.20446685680762933,-11.792023543401672,6.013323044666392,2.373054272167439,-0.09887558250066256,0.08210809601418588,7.598343647649325e-05,4.178999515799461,4.178830111873282,4.178999415729881,4.178944472749594,0.9993546622196527,0.00023149894461646934,0.05637177364384138,0.9998438352960213,5.394435899543199e-05,0.05269440728103894,0.9998459230854236,5.45662014822032e-05,0.0452160465311447,0.9998780040543729,4.5002749029869413e-05,0.044981623284617606,0.9999140938823955,3.368698528491577e-05,0.044992175838151564,0.9999698603922342,1.2127864663798736e-05,0.04356086878240255
0.164334,1.0835794036021607,-5.094177653656816,-3.2241697773812605,0.2736819634465815,-0.24279706503942952,0.4429164403286111,-0.8185186595943557,1.3301535662673385,6.511024785306823,-0.9678350138870255,0.3816905609602049,0.4943619113833146,0.2044699784799202,-11.199068430661036,5.970766159628069,2.0411530690405977,-0.10162841061459747,0.08007422409682764,-8.708253140607653e-06,4.178999475664577,4.178930394042792,4.178999366041371,4.178917408548494,0.9991032206037123,0.0002514416159404478,0.05810012679666622,0.9997878876983325,5.594759768880432e-05,0.05310333039064588,0.999789497780567,5.642530485666075e-05,0.0453742948052514,0.999829144245599,4.8859808773814875e-05,0.04498162538057036,0.9998748121250854,3.928175731003713e-05,0.04499380638890192,0.999956252012891,1.3608379343254578e-05,0.04418289360396674
0.205418,1.1286926345511386,-4.8216364865614985,-3.262163887581203,0.27447555929596584,-0.2304410066107713,0.44030192920830674,-0.823221915452924,0.870055639339162,6.756325289471671,-0.883977119685978,0.3775153010865565,0.4976516479123339,0.20446962071362546,-10.61178288967725,5.9282423062848135,1.7269554515451782,-0.10286688599867974,0.07879625766924014,-3.209852479905668e-05,4.178999427198288,4.1789607920698275,4.178999304123417,4.178912646686354,0.9988282989770618,0.000274921626650528,0.06015569267159426,0.9997298459796469,5.804171868559755e-05,0.05348976624950689,0.9997312581898903,5.8239590676680733e-05,0.04560164747405395,0.9997759975756569,5.314666994210335e-05,0.044981947759042636,0.9998284922599102,4.631986517530257e-05,0.04499604235455075,0.9999414079189528,1.4844093938200423e-05,0.04448003794126374
0.246502,1.155399833708463,-4.539053383069102,-3.2969804520501467,0.27516971127403966,-0.21801145057379687,0.43769659183999365,-0.8277525789949522,0.4340855103251181,6.999878761114183,-0.8130275913325425,0.37328916019898306,0.5008888809936194,0.2044683019910184,-10.030364718837355,5.885674998030768,1.4302838262584683,-0.10363144062026867,0.07764612559425244,-3.654552128520354e-05,4.178999368924692,4.178972737757134,4.178999227973372,4.178917923037349,0.998525431950492,0.0003028670265697341,0.06256994228136163,0.9996696158489283,6.0230130718580414e-05,0.05386339096102839,0.9996711211011406,6.013708874969895e-05,0.0458901610191461,0.999717919649684,5.8077925972897825e-05,0.044982663790470195,0.9997730260582355,5.5466201674729265e-05,0.04499959773670914,0.9999255290507015,1.5878868251309963e-05,0.04464349336445909
0.287585,1.1646873296141356,-4.246500140193043,-3.3291349778070294,0.27576578656651607,-0.2055114987682029,0.43510174391111084,-0.832108603731443,0.022002126600478487,7.241683414950655,-0.7542663981623372,0.36903160866340845,0.5040788625212,0.2044668005698345,-8.662112732669964,5.141681993731714,1.9320994893688797,-21.706990700553582,21.52214337834925,-0.8804759981613652,4.1789992955936945,4.178984028414603,4.178999135360511,2.8549601312622728,0.998188913767386,0.00033651818310604016,0.06534662069610347,0.9996071007841119,6.251506481639802e-05,0.0542629101195198,0.9996089283626453,6.219273849530414e-05,0.04620124554833438,0.9996542611467631,6.365850292088855e-05,0.04498381414025913,0.9997065003621094,6.652569612611078e-05,0.045005896441654356,0.9999087924014055,1.673664929598443e-05,0.04474259486415101
0.328669,1.1581879148709489,-3.9446845580563337,-3.3584838726503996,0.2701608436495883,-0.18804641302667824,0.44249098643145374,-0.8341782848984557,-0.3338685545901327,7.452922165824174,-0.6748888164302879,-0.5227694802405903,1.388285759973382,0.16829368635303446,-6.82004775434051,4.532683348290877,2.7409953390519806,48.29032921600602,48.91698616401898,1.995580764879279,4.1789992121912976,1.1781189290046017,4.178998942666944,4.178992529174487,0.9978114481637956,0.00037746560359044857,0.06843594808430889,0.9995422039521402,6.489683197163523e-05,0.05471643513397697,0.9995444731824267,6.44551802186541e-05,0.04650862089014726,0.9995848239517817,6.943719498136826e-05,0.04498534673912702,0.9996294480923341,7.705226977531168e-05,0.04501682267473866,0.9998913527986897,1.7439602715762614e-05,0.044806914501299394
0.369752,1.1385283302374167,-3.634744693962795,-3.3838488268752367,0.25325784152040554,-0.1424295855228025,0.4479044537183,-0.8455507181850046,-0.6140605949148669,7.639141066519596,-0.562278889897035,1.4611705680346632,3.397971124875733,0.2502793067306131,-6.043421651614991,6.903179573444679,0.6098707372784467,5.027762344480624,6.328386228779446,0.2424097068942775,4.178999154195639,3.814462558162648,4.178998761071451,4.178988826315824,0.9973836537581119,0.0004277944056837413,0.07172381714417535,0.9994748248071185,6.73791450218307e-05,0.05522719400817782,0.9994775241347867,6.694904763994722e-05,0.046813848180695776,0.9995102472001055,7.457675167621559e-05,0.044987095005854495,0.9995450332165138,8.441487582034639e-05,0.04503359226845192,0.9998733371862584,1.8015612431418058e-05,0.04485079097536377
